plavky (w.)	Badeanzug // Badehose	07 07-44 vorgefertigt
tamhle	dort	07 07-45 vorgefertigt
řídit auto (s.)	ein Auto lenken	07 07-46 vorgefertigt
řídit firmu (w.)	eine Firma leiten	07 07-47 vorgefertigt
dveře (w.Mz.)	Türe	07 07-48 vorgefertigt
knihovna (w.)	Bücherregal	07 07-49 vorgefertigt
koupelna (w.)	Badezimmer	07 07-50 vorgefertigt
křeslo (s.)	Lehnsessel	07 07-51 vorgefertigt
lednička (w.)	Kühlschrank	07 07-52 vorgefertigt
nábytek (m.)	Möbel	07 07-53 vorgefertigt
obraz (m.)	Bild	07 07-54 vorgefertigt
patro (s.)	Stockwerk	07 07-55 vorgefertigt
pokoj (m.)	Zimmer	07 07-56 vorgefertigt
místnost (\textbf{w}.)	Zimmer	07 07-57 vorgefertigt
postel (\textbf{w}.)	Bett	07 07-58 vorgefertigt
pračka (w.)	Waschmaschine	07 07-59 vorgefertigt
skříň (w.)	Schrank, Kasten	07 07-60 vorgefertigt
stůl (m.)	Tisch	07 07-61 vorgefertigt
vana (w.)	Wanne	07 07-62 vorgefertigt
záchod (m.)	Toilette	07 07-63 vorgefertigt
zahrada (w.)	Garten	07 07-64 vorgefertigt
podtrhněte	unterstreicht // unterstreichen Sie	08 08-1 vorgefertigt
špatný, -á, -é	schlecht	08 08-3 vorgefertigt
o víkendu (m.)	am Wochenende	08 08-4 vorgefertigt
počasí (s.)	Wetter	08 08-5 vorgefertigt
půjdu	ich werde gehen	08 08-6 vorgefertigt
pojedu	ich werde fahren	08 08-7 vorgefertigt
poletím	ich werde fliegen	08 08-8 vorgefertigt
zítra	morgen	08 08-9 vorgefertigt
dnes	heute	08 08-10 vorgefertigt
včera	gestern	08 08-11 vorgefertigt
příští, -í, -í	nächste	08 08-12 vorgefertigt
v pondělí (s.)	am Montag	08 08-13 vorgefertigt
v úterý (s.)	am Dienstag	08 08-14 vorgefertigt
ve středu (w.)	am Mittwoch	08 08-15 vorgefertigt
ve čtvrtek (m.)	am Donnerstag	08 08-16 vorgefertigt
v pátek (m.)	am Freitag	08 08-17 vorgefertigt
v sobotu (w.)	am Samstag	08 08-18 vorgefertigt
v neděli (w.)	am Sonntag	08 08-19 vorgefertigt
v létě (s.)	im Sommer	08 08-20 vorgefertigt
na jaře (s.)	im Frühling	08 08-21 vorgefertigt
na podzim (m.)	im Herbst	08 08-22 vorgefertigt
v zimě (w.)	im Winter	08 08-23 vorgefertigt
žádný,-á,-é	kein	08 08-24 vorgefertigt
válka (w.)	Krieg	08 08-25 vorgefertigt
stavět	bauen	08 08-26 vorgefertigt
na moři (s.)	am Meer	08 08-27 vorgefertigt
používat/ použít	verwenden	08 08-28 vorgefertigt
jít*	gehen	08 08-30 vorgefertigt
jet*	fahren	08 08-31 vorgefertigt
jet autobusem (m.)	mit dem Autobus fahren	08 08-35 vorgefertigt
jet taxíkem (m.)	mit dem Taxi fahren	08 08-38 vorgefertigt
jet tramvají (w.)	mit der Straßenbahn fahren	08 08-40 vorgefertigt
jet lodí (w.)	mit dem Boot fahren	08 08-41 vorgefertigt
jet na kole (s.)	mit dem Rad fahren	08 08-42 vorgefertigt
návštěva (w.)	Besuch	08 08-46 vorgefertigt
ostrov (m.)	Insel	08 08-47 vorgefertigt
procházka (w.)	Spaziergang	08 08-48 vorgefertigt
rande (s.)	Date, Rendezvous	08 08-49 vorgefertigt
trh (m.)	Markt	08 08-50 vorgefertigt
dovolená (\textbf{w. Adj.)}	Urlaub	08 08-51 vorgefertigt
výstava (w.)	Ausstellung	08 08-52 vorgefertigt
na hory (w.)	in die Berge	08 08-54 vorgefertigt
výlet (m.)	Ausflug	08 08-56 vorgefertigt
kam?	wohin?	08 08-57 vorgefertigt
lézt / vylézt	klettern	08 08-61 vorgefertigt
skála (w.)	Felsen	08 08-62 vorgefertigt
zvíře (s.) // zvířata	Tier // Tiere	08 08-63 vorgefertigt
květina (w.)	Blume	08 08-64 vorgefertigt
pohoda (w.)	Gemütlichkeit	08 08-66 vorgefertigt
zajímavý, -á, -é	interessant	08 08-67 vorgefertigt
opalovat se	sich sonnen, sich bräunen	08 08-68 vorgefertigt
prohlížet si	besichtigen	08 08-69 vorgefertigt
obraz (m.)	Bild	08 08-70 vorgefertigt
už	schon	08 08-71 vorgefertigt
už ne	nicht mehr	08 08-72 vorgefertigt
ještě	noch	08 08-73 vorgefertigt
ještě ne	noch nicht	08 08-74 vorgefertigt
vlastní, -í,-í	eigen	08 08-75 vorgefertigt
plavat* / zaplavat si* // plavu, plaveš, plave, // plaveme, plavete, plavou // plaval	schwimmen	08 08-76 vorgefertigt
chytat ryby (w.)	Fische fangen	08 08-77 vorgefertigt
jahoda (w.)	Erdbeere	08 08-78 vorgefertigt
nejlepší, -í, -í	der/die/das Beste	08 08-79 vorgefertigt
koupat se / vykoupat se	baden gehen	08 08-80 vorgefertigt
lidský,-á,-é	menschlich	09 09-1 vorgefertigt
tělo (s.)	Körper	09 09-2 vorgefertigt
povídat si	plaudern	09 09-3 vorgefertigt
dítě (\textbf{s}.) // děti (\textbf{w}.)	Kind // Kinder	09 09-4 vorgefertigt
teď	jetzt	09 09-6 vorgefertigt
určitě	bestimmt	09 09-7 vorgefertigt
holka (w.)	Mädchen	09 09-8 vorgefertigt
modrý, -á, -é	blau	09 09-9 vorgefertigt
oko, oči (s.)	Auge // Augen	09 09-10 vorgefertigt
červený,-á,-é	rot	09 09-11 vorgefertigt
pusa (w.)	Mund	09 09-12 vorgefertigt
ucho (s.) // uši	Ohr // Ohren	09 09-13 vorgefertigt
ruka (w.) // ruce	Hand // Hände	09 09-14 vorgefertigt
vlas(m.) // vlasy	Haar // Haare	09 09-15 vorgefertigt
noha (w.) // nohy	Bein // Beine	09 09-16 vorgefertigt
starší, -í, -í	älter	09 09-17 vorgefertigt
silnější, -í, -í	stärker	09 09-18 vorgefertigt
černý, -á, -é	schwarz	09 09-19 vorgefertigt
nos (m.)	Nase	09 09-20 vorgefertigt
knír (m.)	Schnurrbart	09 09-21 vorgefertigt
bílý, -á, -é	weiß	09 09-22 vorgefertigt
štíhlý, -á, -é	schlank	09 09-23 vorgefertigt
vypadat	aussehen	09 09-24 vorgefertigt
hezký, -á, -é	schön	09 09-25 vorgefertigt
hubený, -á, -é	dünn	09 09-26 vorgefertigt
vysoký, -á, -é	groß	09 09-27 vorgefertigt
hnědý, -á, -é	braun	09 09-28 vorgefertigt
zelený, -á, -é	grün	09 09-29 vorgefertigt
tlustý, -á, -é	dick	09 09-30 vorgefertigt
příbuzný, -á, -é	Verwandte/r	09 09-31 vorgefertigt
dělat zkoušku (w.)	eine Prüfung machen	09 09-33 vorgefertigt
učebnice (w.)	Lehrbuch	09 09-34 vorgefertigt
slovník (m.)	Wörterbuch	09 09-35 vorgefertigt
myslet	denken	09 09-36 vorgefertigt
přemýšlet	nachdenken	09 09-37 vorgefertigt
kluk (m.)	Junge, Bub	09 09-38 vorgefertigt
rychlý, -á, -é	schnell	09 09-39 vorgefertigt
jednou	einmal	09 09-41 vorgefertigt
pláž (w.)	Strand	09 09-42 vorgefertigt
láska (w.)	Liebe	09 09-43 vorgefertigt
opravdový, -á, -é	echt	09 09-44 vorgefertigt
člověk (m.Ez.) // lidé (m.Mz.)	Mensch // Menschen	09 09-45 vorgefertigt
